source,target,value
Vietnam,Western Australia,2240
Vietnam,Victoria,12730
Vietnam,Tasmania,400
Vietnam,South Australia,2890
Vietnam,Queensland,3750
Vietnam,Northern Territory,350
Vietnam,New South Wales,13030
Vietnam,Australian Capital Territory,470
UK,Western Australia,4300
UK,Victoria,8470
UK,Tasmania,430
UK,South Australia,2390
UK,Queensland,7970
UK,Northern Territory,-110
UK,New South Wales,12540
UK,Australian Capital Territory,340
Sri Lanka,Western Australia,2010
Sri Lanka,Victoria,17520
Sri Lanka,Tasmania,260
Sri Lanka,South Australia,1920
Sri Lanka,Queensland,2560
Sri Lanka,Northern Territory,400
Sri Lanka,New South Wales,4440
Sri Lanka,Australian Capital Territory,360
South Africa,Western Australia,5130
South Africa,Victoria,4700
South Africa,Tasmania,330
South Africa,South Australia,2080
South Africa,Queensland,7640
South Africa,Northern Territory,330
South Africa,New South Wales,9180
South Africa,Australian Capital Territory,360
Philippines,Western Australia,8550
Philippines,Victoria,19020
Philippines,Tasmania,510
Philippines,South Australia,3890
Philippines,Queensland,13020
Philippines,Northern Territory,1430
Philippines,New South Wales,25070
Philippines,Australian Capital Territory,1130
Pakistan,Western Australia,2750
Pakistan,Victoria,11960
Pakistan,Tasmania,440
Pakistan,South Australia,2300
Pakistan,Queensland,1780
Pakistan,Northern Territory,280
Pakistan,New South Wales,13610
Pakistan,Australian Capital Territory,530
Nepal,Western Australia,2920
Nepal,Victoria,15070
Nepal,Tasmania,900
Nepal,South Australia,3870
Nepal,Queensland,6850
Nepal,Northern Territory,860
Nepal,New South Wales,60080
Nepal,Australian Capital Territory,830
Iraq,Western Australia,400
Iraq,Victoria,8530
Iraq,Tasmania,130
Iraq,South Australia,240
Iraq,Queensland,2020
Iraq,Northern Territory,20
Iraq,New South Wales,17730
Iraq,Australian Capital Territory,390
India,Western Australia,17440
India,Victoria,110060
India,Tasmania,2160
India,South Australia,18970
India,Queensland,25280
India,Northern Territory,1590
India,New South Wales,86640
India,Australian Capital Territory,3940
China,Western Australia,2720
China,Victoria,21530
China,Tasmania,1430
China,South Australia,4140
China,Queensland,8320
China,Northern Territory,360
China,New South Wales,22060
China,Australian Capital Territory,500
